Airdrop_Amount,Wallet_Address
590318,0x0bd1a8c5cf225b48299857947db0dfd0d9c7cdd2
590318,0xc6e055a0ed3e03b78ffb5f7bbcf04301636632ba
590318,0xc190e79072fb1c4d1e1a85faaa707c913cd85fcd
590318,0xd66269281f76070f141f8446afb6610ac9feb401
590318,0xd6647eeec0c8d810c546f2ab8e025d4664d833ac
590318,0xd880507d359af862a5f8f318c8e934ab478ca818
590318,0xf944a43040980ec2d08c10cac737cd5c206db3e5
590318,0x73606090d1b40adc2fa310118842b42975a31034
590318,0x3910e92860ae7ed4366b11cd7e0f99b7412adf3b
590318,0x1e96acb71e14c15e942ad4265fe46be5138b9008
590318,0xc193f0c7649444c96de651cbf4ddf771f3142450
590318,0xdc0e4ad761b6e535cbd94f6e9d62e39c95062bf3
590318,0x3c220d3d6be62ac0387a2135982d316c0120578a
590318,0xda96281e2fe7f2f9a4823b075364e07b277f159b
590318,0x7fda5a2fe9bf63d2f073bbbad04adafefa50a927
590318,0xd8655672f6d50289d826e71cf65741f319b4f920
590318,0x7b8a0d37738ad92d8093a4fde16a5f9f451e81d2
590318,0xf70bd5596f83110208db05b413ff8ed907cf778f
590318,0x1f4683148941cedc01d374fcf592bf707d0d1975
590318,0xc91f36d1acecdd0d1c5fee06c265c224bc8487fe
590318,0x714e7ad9aab0bc992e6c2446e027e42b2ecbe601
590318,0x39268c44924590adab68ee95b528390ed071ba93
590318,0xdf88e273f458f556b266f00e3613c37cbeb1c29a
590318,0xc6249ab68403d1e9c5c94547cf335535ab827f22
590318,0xc59a138ad4a6110b1875dfcd96e6b4caf978829c
590318,0xc34aa742e9f6f52c0168dff64df7854ce94c0335
590318,0xc197254e462a552d1781c730b6b6a4f9030b14d9
590318,0xdbcdfbf023d3bdbeff013c048ebba7d5ddee2a10
590318,0xdc360b255c16c21e6bb013dcf33b2b985525865b
590318,0x74900cde422586ebcfce794e8b7a3b5ffb96480f
590318,0x0bc3e69ced2358a60fefea9a6dd0e11eff6a0d4a
590318,0x744ec7dba1e080e43d8c304ab685fd2a137455c8
590318,0xf9670dc06822c07e7fec634eed623e8b0a7760c0
590318,0xd66fef6e0d083c1719c26f4eb261bc577461d83c
590318,0xd6d32486d7733c4d0e8d5847e34749a662562313
590318,0x39fdbe9ac32d9ed3e7ad95e85190ed315552d7a8
590318,0x3fe87f5d1490273d7a6b6975ac023220105683b4
590318,0xcbc3df920cf3285db7d65e78805df18c6da5246b
590318,0x1fd4e198baf6e6d035eb065ec154c91ac73f5b75
590318,0xcf042493a5239d931a09490d4d40081ad357bd0a
590318,0xcc89d2eb1f307e56f7c79a5f0a3384be6656bd41
590318,0xcab21d30dbbe7ef86618e1aea139f6c8a9b44c98
590318,0x395bea4cd780eeec617a9fa9a194b07f9285a43b
590318,0xc9607fe11a7c3abb97bd470034212c743e7760ee
590318,0xc91cd18f8c998bf574df5ca07596a00f6eae1484
590318,0x1f3dc2715af4612b4834e4663c8381e93eefa3d3
590318,0xc8b36441b9280b6d4a05d450e13166a6c659a18b
590318,0xc845a0feaff2905000f8bd2c80be8cf429f012e5
590318,0x71173f7c5343ddfb0bd2bfa7bdf643bae6c72829
590318,0xc7bfd896cc6a8bf1d09486dd08f590691b20c2ff
590318,0xc6f722ae2a5b1da72789d419b5bf52bad4ec8554
590318,0xc69c5fba8637cc84a418b390143cc46e6469f42e
590318,0xc627a07f25c61244e0c72a2bcf52014015f469ff
590318,0xc5ccb1d2cfea20cb1d2b38cb66dd3dcdf3978b79
590318,0xc59a6dd42e55f2cd5219e8e9db6d975b05995e99
590318,0xc47e1b8f980c7c56e0ca7ac1c045a45c841d8377
590318,0xc34ada9882fadd7c77506bb96ee70a42243da384
590318,0xc27831081735b42d5069262aa7cc5a1318eea0d6
590318,0x3837dcc83fdfb8ecee7f019b7be3b0a9c3fad4ab
590318,0x3fe2bd23148bda8648313899b49b47f7d7cdf764
590318,0x3f861947c73d84ca9eab16c396e1bfb88f14766f
590318,0xdfe0bbe29df13b7fb31079bafcb49743b6ea0b2a
590318,0x763f1048cbf05b4d0570d86aeebaaf672307db52
590318,0x0ce98350b9dea81fe0b47dbc4787a1e9f8f1d7ff
590318,0xfd2a47a6c6eeffb2acce043c3ac06d3f53c4e22b
590318,0xdc382cdf2a25790f535a518ec26958c227e9dcf2
590318,0xdb89eddede70c0ca0ade34825397515851a38536
590318,0xd443c16e24fca8a805e64ee747ac7bd72e43a2b8
590318,0x77072e165bd34a845eeee878d64cdd295ea03b75
590318,0x014f515b12b74e13fc23feb6da10420cf4901d9d
590318,0x7bf2d50d2ec35ae6100be9c4dbdadbe211ae722e
590318,0x404304fc11a889475ed22a2ebc8db6fe8f0d249b
590318,0x2055217043ac828eace0e35f711017e9f9792a83
590318,0xfb7eabfec46b2283bcda53373c9239f81d01eba1
590318,0x1e05670cfbf61878290841d5f61e8f16d7c72f53
590318,0xcf28fd0f9f25c82adc0283500c45e317e2592c8c
